gender,type,offensive,mid,vertjaune
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
M,1,OM,MIDM,1
